,Date,Price,Open,High,Low,Volume,%Chg
2526,30-Jun-2005,2220.6,2191.55,2226.15,2189.45,82.21,1.32
2527,07-Mar-2005,2160.1,2148.25,2166.85,2143.05,86.79,0.56
2528,09-Aug-2005,2318.7,2324.75,2342.2,2303.1,93.65,-0.25
2529,26-Oct-2005,2408.5,2418.45,2434.0,2401.1,91.1,-0.4
2530,17-Aug-2005,2403.15,2369.8,2406.25,2357.5,61.48,1.41
2531,05-Jan-2005,2032.2,2103.75,2105.1,1990.15,109.22,-3.4
2532,21-Oct-2005,2443.75,2397.85,2447.85,2384.05,97.46,2.02
2533,11-May-2005,1985.95,1990.55,1991.85,1975.05,44.57,-0.42
2534,23-May-2005,2013.9,1992.1,2019.35,1991.7,37.69,1.08
2535,25-Aug-2005,2354.55,2323.1,2359.2,2320.7,78.54,1.38
2536,17-Oct-2005,2485.15,2488.4,2498.6,2459.5,77.0,0.03
2537,23-Jun-2005,2183.85,2187.35,2192.1,2174.05,62.65,-0.16
2538,06-Sep-2005,2428.65,2422.4,2436.25,2417.0,47.41,0.24
2539,24-May-2005,2028.6,2016.0,2031.9,2009.55,56.76,0.73
2540,12-Aug-2005,2361.55,2381.05,2390.45,2356.9,71.14,-0.81
2541,02-Aug-2005,2353.65,2321.9,2357.15,2319.75,81.64,1.54
2542,08-Mar-2005,2168.95,2160.65,2173.85,2154.0,78.38,0.41
2543,06-Oct-2005,2579.15,2643.8,2643.8,2571.3,107.14,-2.47
2544,27-Jun-2005,2199.8,2194.35,2219.65,2188.15,93.01,0.25
2545,07-Feb-2006,3020.1,3001.15,3025.1,2991.25,84.82,0.65
2546,07-Dec-2006,4015.35,4015.0,4027.7,4001.4,52.64,-0.01
2547,30-Oct-2006,3769.1,3739.35,3776.05,3719.45,85.37,0.8
2548,29-Dec-2006,3966.4,3971.65,3991.6,3960.45,46.46,-0.1
2549,04-Jan-2006,2904.4,2883.0,2909.35,2883.0,82.02,0.73
2550,28-Feb-2006,3074.7,3067.9,3090.3,3031.8,101.52,0.24
2551,21-Oct-2006,3683.5,3680.85,3708.4,3662.85,0.0,0.18
2552,04-May-2006,3648.4,3630.65,3674.5,3621.55,100.11,0.39
2553,28-Nov-2006,3921.75,3966.0,3966.0,3911.55,59.71,-1.19
2554,28-Apr-2006,3508.35,3507.45,3517.65,3342.85,108.82,0.01
2555,16-Feb-2006,3021.6,3023.1,3036.65,3013.7,77.74,-0.02
2556,15-Dec-2006,3888.65,3849.6,3908.45,3845.45,90.96,1.19
2557,29-Nov-2006,3928.2,3922.5,3952.4,3920.0,59.75,0.16
2558,17-Jul-2006,3007.55,3123.65,3125.1,2999.35,60.05,-3.71
2559,29-Jun-2006,2997.9,2982.9,3049.25,2982.9,110.79,0.56
2560,15-May-2006,3502.95,3651.0,3653.0,3482.85,125.34,-4.03
2561,01-Dec-2006,3997.6,3955.7,4001.3,3953.95,58.09,1.09
2562,21-Feb-2006,3035.5,3008.55,3042.05,3008.55,59.63,0.99
2563,18-Sep-2006,3492.75,3478.65,3506.2,3478.4,60.73,0.41
2564,09-Oct-2006,3567.15,3570.05,3585.35,3540.45,52.25,-0.07
2565,06-Nov-2006,3809.25,3804.75,3822.4,3798.25,68.78,0.1
2566,05-May-2006,3663.95,3649.45,3676.55,3639.55,106.75,0.43
2567,16-Nov-2006,3876.85,3876.4,3900.4,3863.85,79.98,0.01
2568,19-Jul-2006,2932.75,2995.85,3045.35,2919.95,79.09,-2.03
2569,08-Feb-2006,3008.95,3018.2,3021.25,2984.9,72.21,-0.37
2570,30-Jan-2006,2974.5,2983.3,3002.2,2963.65,99.4,-0.28
2571,27-Jun-2006,2982.45,2943.6,3004.15,2899.25,116.75,1.33
2572,28-Jun-2006,2981.1,2982.2,3003.65,2909.6,84.9,-0.05
2573,27-Feb-2006,3067.45,3050.3,3070.35,3050.3,53.58,0.57
2574,18-Jul-2006,2993.65,3007.15,3038.25,2967.95,70.49,-0.46
2575,26-Jun-2006,2943.2,3051.8,3059.85,2928.0,87.44,-3.51
2576,17-Mar-2006,3234.05,3226.9,3258.3,3226.9,84.41,0.23
2577,21-Apr-2006,3573.05,3576.75,3592.75,3517.1,133.26,-0.01
2578,18-Jan-2006,2809.2,2809.9,2840.1,2783.85,119.05,-0.7
2579,31-Jan-2006,3001.1,2968.95,3005.1,2968.85,74.3,0.89
2580,26-Sep-2006,3571.75,3523.7,3576.75,3517.15,67.28,1.37
2581,20-Jul-2006,3023.05,2943.65,3041.25,2943.65,77.71,3.08
2582,20-Sep-2006,3502.8,3457.85,3509.85,3419.75,62.44,1.31
2583,24-Nov-2006,3950.85,3945.45,3965.8,3935.3,67.03,0.14
2584,22-Sep-2006,3544.05,3554.05,3562.45,3525.4,60.15,-0.25
